Fermeture,ordreVB,faitFerm,faitLocal,OTF,CodeEx,Tatouage,jour
A14&NEU-W,0.0,OK,True,456900.0,DEF-NSW-701/DEF,L10.122A,51.0
A14&NEU-W,1.0,OK,True,457700.0,DEF-NSW-701/DEF,L10.122A,108.0
A14&NEU-W,2.0,OK,False,458500.0,DEF-NSW-701/DEF,L10.122A,150.0
A14&NEU-W,3.0,OK,True,459300.0,DEF-NSW-701/DEF,L10.122A,224.0
A14&NEU-W,4.0,KO,True,460100.0,DEF-NSW-701/DEF,L10.122A,269.0
A14&NEU-W,5.0,OK,True,460900.0,DEF-NSW-701/DEF,L10.122A,339.0
A14&NEU-W,0.0,OK,True,456901.0,DEF-NSW-702/DEF,L10.123C,51.0
A14&NEU-W,1.0,OK,False,457701.0,DEF-NSW-702/DEF,L10.123C,108.0
A14&NEU-W,2.0,OK,True,458501.0,DEF-NSW-702/DEF,L10.123C,150.0
A14&NEU-W,3.0,OK,True,459301.0,DEF-NSW-702/DEF,L10.123C,224.0
A14&NEU-W,4.0,KO,True,460101.0,DEF-NSW-702/DEF,L10.123C,269.0
A14&NEU-W,5.0,OK,True,460901.0,DEF-NSW-702/DEF,L10.123C,339.0
A14&NEU-W,0.0,OK,True,456902.0,DEF-NSW-601/DEF,L10.124D,51.0
A14&NEU-W,1.0,OK,True,457702.0,DEF-NSW-601/DEF,L10.124D,108.0
A14&NEU-W,2.0,OK,True,458502.0,DEF-NSW-601/DEF,L10.124D,150.0
A14&NEU-W,3.0,OK,True,459302.0,DEF-NSW-601/DEF,L10.124D,224.0
A14&NEU-W,4.0,KO,True,460102.0,DEF-NSW-601/DEF,L10.124D,269.0
A14&NEU-W,5.0,OK,True,460902.0,DEF-NSW-601/DEF,L10.124D,339.0
A14&NEU-W,0.0,OK,True,456903.0,DEF-NSW-602/DEF,L10.125E,51.0
A14&NEU-W,1.0,OK,True,457703.0,DEF-NSW-602/DEF,L10.125E,108.0
A14&NEU-W,2.0,OK,True,458503.0,DEF-NSW-602/DEF,L10.125E,150.0
A14&NEU-W,3.0,OK,True,459303.0,DEF-NSW-602/DEF,L10.125E,224.0
A14&NEU-W,4.0,KO,True,460103.0,DEF-NSW-602/DEF,L10.125E,269.0
A14&NEU-W,5.0,OK,False,460903.0,DEF-NSW-602/DEF,L10.125E,339.0
A14&NEU-W,0.0,OK,True,456904.0,DEF-NSW-603/DEF,L10.126F,51.0
A14&NEU-W,1.0,OK,True,457704.0,DEF-NSW-603/DEF,L10.126F,108.0
A14&NEU-W,2.0,OK,True,458504.0,DEF-NSW-603/DEF,L10.126F,150.0
A14&NEU-W,3.0,OK,True,459304.0,DEF-NSW-603/DEF,L10.126F,224.0
A14&NEU-W,4.0,KO,True,460104.0,DEF-NSW-603/DEF,L10.126F,269.0
A14&NEU-W,5.0,OK,True,460904.0,DEF-NSW-603/DEF,L10.126F,339.0
A14&NEU-W,0.0,OK,True,456932.0,DEF-NSW-001/DEF,L10.159U,51.0
A14&NEU-W,1.0,OK,True,457732.0,DEF-NSW-001/DEF,L10.159U,108.0
A14&NEU-W,2.0,OK,True,458532.0,DEF-NSW-001/DEF,L10.159U,150.0
A14&NEU-W,3.0,OK,True,459332.0,DEF-NSW-001/DEF,L10.159U,224.0
A14&NEU-W,4.0,KO,True,460132.0,DEF-NSW-001/DEF,L10.159U,269.0
A14&NEU-W,5.0,OK,True,460932.0,DEF-NSW-001/DEF,L10.159U,339.0
A14&NEU-W,0.0,OK,True,456933.0,DEF-NSW-002/DEF,L10.161W,51.0
A14&NEU-W,1.0,OK,True,457733.0,DEF-NSW-002/DEF,L10.161W,108.0
A14&NEU-W,2.0,OK,True,458533.0,DEF-NSW-002/DEF,L10.161W,150.0
A14&NEU-W,3.0,OK,True,459333.0,DEF-NSW-002/DEF,L10.161W,224.0
A14&NEU-W,4.0,KO,True,460133.0,DEF-NSW-002/DEF,L10.161W,269.0
A14&NEU-W,5.0,OK,True,460933.0,DEF-NSW-002/DEF,L10.161W,339.0
A14&NEU-W,0.0,OK,True,456934.0,DEF-NSW-003/DEF,L10.162X,51.0
A14&NEU-W,1.0,OK,True,457734.0,DEF-NSW-003/DEF,L10.162X,108.0
A14&NEU-W,2.0,OK,True,458534.0,DEF-NSW-003/DEF,L10.162X,150.0
A14&NEU-W,3.0,OK,True,459334.0,DEF-NSW-003/DEF,L10.162X,224.0
A14&NEU-W,4.0,KO,True,460134.0,DEF-NSW-003/DEF,L10.162X,269.0
A14&NEU-W,5.0,OK,True,460934.0,DEF-NSW-003/DEF,L10.162X,339.0
A14&NEU-W,0.0,OK,True,456935.0,DEF-NSW-004/DEF,L10.163Y,51.0
A14&NEU-W,1.0,OK,False,457735.0,DEF-NSW-004/DEF,L10.163Y,108.0
