,indRap,PC,RC,Com
0,0,P01,R2,Commentaire Aléatoire3_Trois_Ècî
1,0,P02,R9,Commentaire Aléatoire0_Très
2,0,P03,R4,Commentaire Aléatoire2_Trop Û
3,0,P04,R5,Commentaire Aléatoire3_Trois_Ècî
4,0,P05,R2,Commentaire Aléatoire2_Trop Û
5,0,P06,R2,Commentaire Aléatoire4_Qûàtré
6,0,P07,R7,Commentaire Aléatoire2_Trop Û
7,0,P08,R5,Commentaire Aléatoire2_Trop Û
8,0,P09,R2,Commentaire Aléatoire0_Très
9,0,P10,R0,Commentaire Aléatoire0_Très
10,0,P11,R2,Commentaire Aléatoire3_Trois_Ècî
11,0,P12,R3,Commentaire Aléatoire4_Qûàtré
12,0,P13,R2,Commentaire Aléatoire4_Qûàtré
13,0,P14,R0,Commentaire Aléatoire3_Trois_Ècî
14,0,P20,R1,Commentaire Aléatoire1_îàèù
15,1,P01,R4,Commentaire Aléatoire0_Très
16,1,P02,R9,Commentaire Aléatoire3_Trois_Ècî
17,1,P03,R4,Commentaire Aléatoire3_Trois_Ècî
18,1,P04,R5,Commentaire Aléatoire2_Trop Û
19,1,P05,R2,Commentaire Aléatoire1_îàèù
20,1,P06,R1,Commentaire Aléatoire2_Trop Û
21,1,P07,R7,Commentaire Aléatoire0_Très
22,1,P08,R5,Commentaire Aléatoire2_Trop Û
23,1,P09,R2,Commentaire Aléatoire4_Qûàtré
24,1,P10,R2,Commentaire Aléatoire0_Très
25,1,P11,R2,Commentaire Aléatoire4_Qûàtré
26,1,P12,R0,Commentaire Aléatoire4_Qûàtré
27,1,P13,R2,Commentaire Aléatoire3_Trois_Ècî
28,1,P14,R0,Commentaire Aléatoire0_Très
29,1,P20,R2,Commentaire Aléatoire4_Qûàtré
30,2,P01,R4,Commentaire Aléatoire3_Trois_Ècî
31,2,P02,R9,Commentaire Aléatoire0_Très
32,2,P03,R4,Commentaire Aléatoire4_Qûàtré
33,2,P04,R5,Commentaire Aléatoire2_Trop Û
34,2,P05,R2,Commentaire Aléatoire0_Très
35,2,P06,R2,Commentaire Aléatoire0_Très
36,2,P07,R3,Commentaire Aléatoire4_Qûàtré
37,2,P08,R5,Commentaire Aléatoire1_îàèù
38,2,P09,R1,Commentaire Aléatoire4_Qûàtré
39,2,P10,R2,Commentaire Aléatoire3_Trois_Ècî
40,2,P11,R2,Commentaire Aléatoire1_îàèù
41,2,P12,R3,Commentaire Aléatoire3_Trois_Ècî
42,2,P13,R0,Commentaire Aléatoire0_Très
43,2,P14,R2,Commentaire Aléatoire1_îàèù
44,2,P20,R0,Commentaire Aléatoire4_Qûàtré
45,3,P01,R4,Commentaire Aléatoire0_Très
46,3,P02,R9,Commentaire Aléatoire3_Trois_Ècî
47,3,P03,R2,Commentaire Aléatoire0_Très
48,3,P04,R5,Commentaire Aléatoire3_Trois_Ècî
49,3,P05,R2,Commentaire Aléatoire1_îàèù
50,3,P06,R2,Commentaire Aléatoire0_Très
51,3,P07,R7,Commentaire Aléatoire3_Trois_Ècî
52,3,P08,R5,Commentaire Aléatoire4_Qûàtré
53,3,P09,R0,Commentaire Aléatoire2_Trop Û
54,3,P10,R2,Commentaire Aléatoire0_Très
55,3,P11,R2,Commentaire Aléatoire0_Très
56,3,P12,R3,Commentaire Aléatoire2_Trop Û
57,3,P13,R2,Commentaire Aléatoire2_Trop Û
58,3,P14,R0,Commentaire Aléatoire2_Trop Û
59,3,P20,R2,Commentaire Aléatoire3_Trois_Ècî
60,4,P01,R4,Commentaire Aléatoire3_Trois_Ècî
61,4,P02,R8,Commentaire Aléatoire4_Qûàtré
62,4,P03,R4,Commentaire Aléatoire2_Trop Û
63,4,P04,R5,Commentaire Aléatoire1_îàèù
