indRap,PC,RC,Com
0,P01,P01R4,Commentaire Aléatoire0 Très compliqué !
0,P02,P02R8,Commentaire Aléatoire4 Sans commentaire
0,P03,P03R4,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
0,P04,P04R5,Commentaire Aléatoire1 Comment faire ?
0,P05,P05R2,Commentaire Aléatoire0 Très compliqué !
0,P06,P06R2,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
0,P07,P07R3,Commentaire Aléatoire0 Très compliqué !
0,P08,P08R5,Commentaire Aléatoire1 Comment faire ?
0,P09,P09R2,Commentaire Aléatoire1 Comment faire ?
0,P10,P10R0,Commentaire Aléatoire1 Comment faire ?
0,P11,P11R2,Commentaire Aléatoire3 Trois choses à noter
0,P12,P12R2,Commentaire Aléatoire1 Comment faire ?
0,P13,P13R2,Commentaire Aléatoire3 Trois choses à noter
0,P14,P14R0,Commentaire Aléatoire3 Trois choses à noter
0,P15,P15R0,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
0,P16,P16R0,Commentaire Aléatoire0 Très compliqué !
0,P17,P17R1,Commentaire Aléatoire3 Trois choses à noter
0,P18,P18R0,Commentaire Aléatoire3 Trois choses à noter
0,P19,P19R0,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
0,P20,P20R2,Commentaire Aléatoire0 Très compliqué !
0,P21,P21R2,Commentaire Aléatoire4 Sans commentaire
1,P01,P01R4,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
1,P02,P02R8,Commentaire Aléatoire3 Trois choses à noter
1,P03,P03R4,Commentaire Aléatoire3 Trois choses à noter
1,P04,P04R5,Commentaire Aléatoire0 Très compliqué !
1,P05,P05R2,Commentaire Aléatoire4 Sans commentaire
1,P06,P06R2,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
1,P07,P07R7,Commentaire Aléatoire4 Sans commentaire
1,P08,P08R5,Commentaire Aléatoire3 Trois choses à noter
1,P09,P09R2,Commentaire Aléatoire4 Sans commentaire
1,P10,P10R2,Commentaire Aléatoire3 Trois choses à noter
1,P11,P11R2,Commentaire Aléatoire1 Comment faire ?
1,P12,P12R1,Commentaire Aléatoire4 Sans commentaire
1,P13,P13R2,Commentaire Aléatoire3 Trois choses à noter
1,P14,P14R0,Commentaire Aléatoire4 Sans commentaire
1,P15,P15R1,Commentaire Aléatoire3 Trois choses à noter
1,P16,P16R0,Commentaire Aléatoire3 Trois choses à noter
1,P17,P17R0,Commentaire Aléatoire4 Sans commentaire
1,P18,P18R0,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
1,P19,P19R0,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
1,P20,P20R0,Commentaire Aléatoire0 Très compliqué !
1,P21,P21R2,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
2,P01,P01R4,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
