indRap,PC,RC,Com
0,P22,P22R0,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
0,P23,P23R0,Commentaire Aléatoire3 Trois choses à noter
0,P24,P24R0,Commentaire Aléatoire3 Trois choses à noter
0,P25,P25R1,Commentaire Aléatoire1 Comment faire ?
1,P22,P22R0,Commentaire Aléatoire1 Comment faire ?
1,P23,P23R0,Commentaire Aléatoire1 Comment faire ?
1,P24,P24R0,Commentaire Aléatoire1 Comment faire ?
1,P25,P25R0,Commentaire Aléatoire1 Comment faire ?
2,P22,P22R0,Commentaire Aléatoire0 Très compliqué !
2,P23,P23R1,Commentaire Aléatoire1 Comment faire ?
2,P24,P24R0,Commentaire Aléatoire1 Comment faire ?
2,P25,P25R0,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
3,P22,P22R1,Commentaire Aléatoire1 Comment faire ?
3,P23,P23R0,Commentaire Aléatoire3 Trois choses à noter
3,P24,P24R0,Commentaire Aléatoire1 Comment faire ?
3,P25,P25R0,Commentaire Aléatoire4 Sans commentaire
4,P22,P22R0,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
4,P23,P23R0,Commentaire Aléatoire1 Comment faire ?
4,P24,P24R0,Commentaire Aléatoire3 Trois choses à noter
4,P25,P25R0,Commentaire Aléatoire1 Comment faire ?
5,P22,P22R0,Commentaire Aléatoire1 Comment faire ?
5,P23,P23R1,Commentaire Aléatoire0 Très compliqué !
5,P24,P24R0,Commentaire Aléatoire1 Comment faire ?
5,P25,P25R0,Commentaire Aléatoire4 Sans commentaire
6,P22,P22R0,Commentaire Aléatoire0 Très compliqué !
6,P23,P23R0,Commentaire Aléatoire3 Trois choses à noter
6,P24,P24R0,Commentaire Aléatoire0 Très compliqué !
6,P25,P25R0,Commentaire Aléatoire0 Très compliqué !
7,P22,P22R0,Commentaire Aléatoire4 Sans commentaire
7,P23,P23R0,Commentaire Aléatoire3 Trois choses à noter
7,P24,P24R0,Commentaire Aléatoire0 Très compliqué !
7,P25,P25R1,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
8,P22,P22R0,Commentaire Aléatoire4 Sans commentaire
8,P23,P23R0,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
8,P24,P24R0,Commentaire Aléatoire3 Trois choses à noter
8,P25,P25R1,"Commentaire Aléatoire2 Trop long à vous expliquer, on appelera le PCTT demain"
9,P22,P22R0,Commentaire Aléatoire3 Trois choses à noter
