codePC,PC,codeRC,RC,Probab
P01,1. Propreté/vacuité avant la porte coupe-feu,P01R0,0_Encombrement devant la porte coupe-feu,0.05
P01,1. Propreté/vacuité avant la porte coupe-feu,P01R1,1_Autre anomalie à signaler,0.05
P01,1. Propreté/vacuité avant la porte coupe-feu,P01R2,1_Présence d'eau devant la porte coupe-feu,0.05
P01,1. Propreté/vacuité avant la porte coupe-feu,P01R3,1_Présence de détritus devant la porte coupe-feu,0.05
P01,1. Propreté/vacuité avant la porte coupe-feu,P01R4,2_Propreté et vacuité OK,0.8
P02,2. Porte coupe-feu,P02R0,0_Porte coupe-feu bloquée,0.05
P02,2. Porte coupe-feu,P02R1,0_Porte coupe-feu dure à ouvrir,0.1
P02,2. Porte coupe-feu,P02R2,0_Porte coupe-feu ne se refermant pas seule,0.025
P02,2. Porte coupe-feu,P02R3,0_Problème d'étanchéité,0.05
P02,2. Porte coupe-feu,P02R4,0_Temps de fermeture en autonomie > 10 secondes,0.05
P02,2. Porte coupe-feu,P02R5,1_Autre anomalie à signaler,0.05
P02,2. Porte coupe-feu,P02R6,1_Porte coupe-feu endommagée,0.05
P02,2. Porte coupe-feu,P02R7,2_Issue non équipée,0.025
P02,2. Porte coupe-feu,P02R8,2_Porte coupe-feu OK,0.6
P03,3. Surpression,P03R0,0_Surpression non activée à l'ouverture de la porte,0.05
P03,3. Surpression,P03R1,0_Surpression trop forte empêchant la seconde ouverture de la porte,0.05
P03,3. Surpression,P03R2,1_Autre anomalie à signaler,0.05
P03,3. Surpression,P03R3,2_Issue non équipée,0.05
P03,3. Surpression,P03R4,2_Surpression OK,0.8
P04,4. Propreté et vacuité du sas,P04R0,0_Encombrement critique du sas (passage impossible),0.04
P04,4. Propreté et vacuité du sas,P04R1,1_Autre anomalie à signaler,0.04
P04,4. Propreté et vacuité du sas,P04R2,1_Encombrement modéré du sas (passage possible),0.04
P04,4. Propreté et vacuité du sas,P04R3,1_Présence d'eau dans le sas,0.04
P04,4. Propreté et vacuité du sas,P04R4,1_Présence de salissures/déchets/graffitis dans le sas,0.04
P04,4. Propreté et vacuité du sas,P04R5,2_Propreté et vacuité sas OK,0.8
P05,5. Eclairage de secours dans le sas,P05R0,0_Pas d'éclairage de secours,0.1
P05,5. Eclairage de secours dans le sas,P05R1,1_Eclairage de secours dégradé,0.1
P05,5. Eclairage de secours dans le sas,P05R2,2_Eclairage de secours OK,0.8
P06,6. Eclairage normal dans le sas,P06R0,0_Pas d'éclairage normal,0.1
P06,6. Eclairage normal dans le sas,P06R1,1_Eclairage normal dégradé,0.1
P06,6. Eclairage normal dans le sas,P06R2,2_Eclairage normal OK,0.8
P07,7. Porte(s) sas à l'intérieur de l'issue,P07R0,0_Porte sas bloquée,0.025
P07,7. Porte(s) sas à l'intérieur de l'issue,P07R1,1_Autre anomalie à signaler,0.025
P07,7. Porte(s) sas à l'intérieur de l'issue,P07R2,1_Porte sas dure à ouvrir,0.025
P07,7. Porte(s) sas à l'intérieur de l'issue,P07R3,1_Porte sas endommagée,0.025
P07,7. Porte(s) sas à l'intérieur de l'issue,P07R4,1_Porte sas ne se refermant pas seule,0.025
P07,7. Porte(s) sas à l'intérieur de l'issue,P07R5,1_Problème d'étanchéité,0.025
P07,7. Porte(s) sas à l'intérieur de l'issue,P07R6,2_Issue non équipée,0.05
P07,7. Porte(s) sas à l'intérieur de l'issue,P07R7,2_Porte(s) sas OK,0.8
P08,8. Propreté et vacuité dans l'issue,P08R0,0_Encombrement critique de l'issue (passage impossible),0.04
P08,8. Propreté et vacuité dans l'issue,P08R1,1_Autre anomalie à signaler,0.04
P08,8. Propreté et vacuité dans l'issue,P08R2,1_Encombrement modéré de l'issue (passage possible),0.04
P08,8. Propreté et vacuité dans l'issue,P08R3,1_Présence d'eau dans l'issue,0.04
P08,8. Propreté et vacuité dans l'issue,P08R4,1_Présence de salissures/déchets/graffitis dans l'issue,0.04
P08,8. Propreté et vacuité dans l'issue,P08R5,2_Propreté et vacuité issue OK,0.8
P09,9. Eclairage de secours dans l'issue,P09R0,0_Pas d'éclairage de secours,0.1
P09,9. Eclairage de secours dans l'issue,P09R1,1_Eclairage de secours dégradé,0.1
P09,9. Eclairage de secours dans l'issue,P09R2,2_Eclairage de secours OK,0.8
P10,10. Eclairage normal dans l'issue,P10R0,0_Pas d'éclairage normal,0.1
P10,10. Eclairage normal dans l'issue,P10R1,1_Eclairage normal dégradé,0.1
P10,10. Eclairage normal dans l'issue,P10R2,2_Eclairage normal OK,0.8
P11,11. Caméra détection,P11R0,0_Dégradations visibles,0.1
P11,11. Caméra détection,P11R1,2_Contrôle visuel OK,0.1
P11,11. Caméra détection,P11R2,2_Issue non équipée,0.8
P12,12. Détecteur,P12R0,0_Détecteur HS,0.1
P12,12. Détecteur,P12R1,0_Eclairage normal non activé,0.1
P12,12. Détecteur,P12R2,2_Détecteur OK,0.7
P12,12. Détecteur,P12R3,2_Issue non équipée (?),0.1
P13,13. Téléphone de sécurité (TSE),P13R0,0_Dégradations visibles,0.1
P13,13. Téléphone de sécurité (TSE),P13R1,2_Issue non équipée,0.1
